254,94,0
253,96,0
253,99,0
253,102,0
253,105,0
253,107,0
253,110,0
253,112,0
253,115,0
253,117,0
253,119,0
252,121,0
252,124,0
252,126,0
252,128,0
251,130,0
251,132,0
251,134,0
250,136,0
250,138,0
250,140,0
249,142,0
249,144,0
248,145,0
248,147,0
247,149,0
247,151,0
246,153,0
246,154,0
245,156,0
245,158,0
244,159,0
244,161,0
243,162,0
242,164,0
242,165,0
241,167,0
240,168,0
240,170,0
239,171,0
238,173,0
237,174,0
236,175,0
236,177,0
235,178,0
234,179,0
233,181,0
232,182,0
231,183,0
230,184,0
229,186,0
228,187,0
227,188,0
226,189,0
225,190,0
224,191,0
223,193,0
222,194,0
220,195,0
219,196,0
218,197,0
217,198,0
216,199,0
214,200,0
213,201,0
212,202,0
210,203,0
209,204,0
207,205,0
206,206,0
205,206,0
203,207,0
202,208,0
200,209,0
199,210,0
197,211,0
195,211,0
194,212,0
192,213,0
190,214,0
189,214,0
187,215,0
185,216,0
183,216,0
181,217,0
179,218,0
178,218,0
176,219,0
174,220,0
172,220,0
169,221,0
167,221,0
165,222,0
163,222,0
161,223,0
159,223,0
156,224,0
154,224,0
151,225,0
149,225,0
147,226,0
144,226,0
141,226,0
139,227,0
136,227,0
133,227,0
130,228,0
127,228,0
124,228,0
121,229,0
118,229,0
115,229,0
111,229,0
108,230,0
104,230,0
100,230,0
96,230,0
92,230,0
88,231,0
83,231,0
78,231,0
73,231,0
68,231,0
62,231,0
55,231,0
47,231,0
38,231,0
27,231,0
0,231,0
0,231,27
0,231,38
0,231,47
0,231,55
0,231,62
0,231,68
0,231,73
0,231,78
0,231,83
0,231,88
0,230,92
0,230,96
0,230,100
0,230,104
0,230,108
0,229,111
0,229,115
0,229,118
0,229,121
0,228,124
0,228,127
0,228,130
0,227,133
0,227,136
0,227,139
0,226,141
0,226,144
0,226,147
0,225,149
0,225,151
0,224,154
0,224,156
0,223,159
0,223,161
0,222,163
0,222,165
0,221,167
0,221,169
0,220,172
0,220,174
0,219,176
0,218,178
0,218,179
0,217,181
0,216,183
0,216,185
0,215,187
0,214,189
0,214,190
0,213,192
0,212,194
0,211,195
0,211,197
0,210,199
0,209,200
0,208,202
0,207,203
0,206,205
0,206,206
0,205,207
0,204,209
0,203,210
0,202,212
0,201,213
0,200,214
0,199,216
0,198,217
0,197,218
0,196,219
0,195,220
0,194,222
0,193,223
0,191,224
0,190,225
0,189,226
0,188,227
0,187,228
0,186,229
0,184,230
0,183,231
0,182,232
0,181,233
0,179,234
0,178,235
0,177,236
0,175,236
0,174,237
0,173,238
0,171,239
0,170,240
0,168,240
0,167,241
0,165,242
0,164,242
0,162,243
0,161,244
0,159,244
0,158,245
0,156,245
0,154,246
0,153,246
0,151,247
0,149,247
0,147,248
0,145,248
0,144,249
0,142,249
0,140,250
0,138,250
0,136,250
0,134,251
0,132,251
0,130,251
0,128,252
0,126,252
0,124,252
0,121,252
0,119,253
0,117,253
0,115,253
0,112,253
0,110,253
0,107,253
0,105,253
0,102,253
0,99,253
0,96,253
